id_point_d_accueil,ID_A1,ID_A2,ID_A4,ID_A6,ID_A7,ID_A8,ID_A9,ID_A10,ID_A11,ID_A12,ID_A13,ID_A14,ID_A15,ID_A16,ID_A17,ID_A18,ID_A19,ID_A20,ID_A21,ID_A22,ID_A23,ID_A24,ID_A25,ID_B25,ID_C25,ID_D25,ID_E25,ID_F25,ID_A26,ID_B26,ID_C26,ID_D26,ID_E26,ID_F26,ID_A27,ID_B27,ID_C27,ID_D27,ID_E27,ID_F27,ID_A28,ID_B28,ID_C28,ID_D28,ID_E28,ID_F28,ID_A29,ID_B29,ID_C29,ID_D29,ID_E29,ID_F29,ID_A30,ID_B30,ID_C30,ID_D30,ID_E30,ID_F30,ID_A31,ID_B31,ID_C31,ID_D31,ID_E31,ID_F31,ID_A32,ID_B32,ID_C32,ID_D32,ID_E32,ID_F32,ID_A33,ID_B33,ID_C33,ID_D33,ID_E33,ID_F33,ID_A34,ID_B34,ID_C34,ID_D34,ID_E34,ID_F34,ID_A35,ID_A36,ID_A37,ID_A38,ID_A39,ID_A40,ID_A41,ID_A42,ID_A43,ID_A44,ID_A45,ID_B45,ID_C45,ID_A46,ID_A47,ID_A49,ID_A50,ID_B50,ID_C50,ID_A51,ID_A52,ID_B52,ID_C52,ID_A53,ID_A54,ID_A55,ID_A56,ID_A57,ID_A58,ID_A59,ID_A60,ID_A61,ID_A62,ID_A63,ID_A64,ID_A65,ID_A66,ID_A67,ID_A68,ID_A69,ID_A70,ID_A71,ID_A72,ID_A73,ID_A74,ID_A75,ID_A76,ID_A77,ID_A78,ID_A79,ID_A80,ID_A81,ID_A82,ID_A83,ID_A84,ID_A85,ID_A86,ID_A87,ID_B87,ID_C87,ID_D87,ID_E87,ID_A88,ID_B88,ID_C88,ID_D88,ID_E88,ID_A89,ID_B89,ID_C89,ID_D89,ID_E89,ID_A90,ID_B90,ID_C90,ID_D90,ID_E90,ID_A91,ID_B91,ID_C91,ID_D91,ID_E91,ID_A92,ID_B92,ID_C92,ID_D92,ID_E92,ID_A93,ID_B93,ID_C93,ID_D93,ID_E93,ID_A94,ID_B94,ID_C94,ID_D94,ID_E94,ID_A95,ID_B95,ID_C95,ID_D95,ID_E95,ID_A96,ID_B96,ID_C96,ID_D96,ID_E96,ID_A97,ID_B97,ID_C97,ID_D97,ID_E97,ID_A98,ID_B98,ID_C98,ID_D98,ID_E98,ID_A99,ID_B99,ID_C99,ID_D99,ID_E99,ID_A100,ID_B100,ID_C100,ID_D100,ID_E100,ID_A101,ID_B101,ID_C101,ID_D101,ID_E101,ID_A102,ID_B102,ID_C102,ID_D102,ID_E102,ID_A103,ID_A104,ID_A105
020000394P1,CENTRE HOSPITALIER DE LAON,020000394,Structures des urgences pédiatriques,0,1,0,0,0,0,0,traumatologie,1,0.20,1,1,0,0,,0,,,,0,0.00,,,,,6,4.00,2.00,0.00,,,1,1.00,,,,,0,0.00,,,,,3,3.00,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,0,,,,,,0,0,,,,,,,,,,,,0,,,,0,,0,0,0,0,0,0,1,1,1,0,,0,,,1,24,0,0,,,0,,0,0,0,0,0,0,,,,11/06/2013,0,6,13,8,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
020000535G1,CENTRE HOSPITALIER DE CHAUNY,020000535,Structures des urgences générales,0,1,1,0,1,1,0,Médecine : organisé - chirurgie : organisé - pneumologie : organisé - maternité : organisé,1,1.80,3,3,1,0,,0,,,,5,5.00,2.70,,1180,,3,4.60,0.00,2.90,,,0,0.00,1.00,,,,1,1.00,0.00,,294,294,21,20.50,0.00,,590,180,16,15.80,0.20,,418,432,6,5.00,2.00,,160,0,1,1.00,0.00,,130,,0,0.00,0.00,,,,0,0.00,0.00,,,,1,1,0,,0,10,0,0,,0,,,,0,0,0,,,,0,,,,0,,0,0,0,0,0,0,1,1,1,0,,,1,66,0,,1,0,1,0,1,1,1,0,0,1,1,1,0,0,,11/06/2013,1,7,6,6,1,1,0,1,3,2,3,1,2,2,3,0,1,0,0,2,0,0,0,1,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,3,4,3,3,3,3,3,3,2,3,2,4,2,0,3,1,1,1,0,1,0,0,0,0,0,4,4,4,0,4,71,1,1
020004404G1,CENTRE HOSPITALIER DE CHATEAU THIERRY,020004404,Structures des urgences générales,0,1,2,0,1,2,0,,0,,3,3,1,1,SOS main    AVC avec UNV Reims,1,1,1,0,11,9.00,1.00,,,,0,0.00,,,,,3,3.00,,,,,1,0.80,,,,,15,13.55,1.45,,,,6,5.80,,,,,3,3.00,,,,,1,1.00,,,,,5,5.00,1.00,,,,0,0.00,,,,,1,1,0,,0,10,0,1,0,0,,,,0,1,1,1,1,1,0,,,,0,,1,1,1,1,1,0,1,1,1,1,0,1,1,20,1,24,0,0,,,1,1,0,0,0,0,0,0,,,,11/06/2013,2,1,4,1,1,4,7,7,3,6,2,5,4,2,5,0,0,0,0,0,0,1,0,1,0,2,3,3,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,2,3,3,2,2,2,2,2,0,2,1,1,1,0,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,74,2,3
020004495G1,CENTRE HOSPITALIER BRISSET D HIRSON,020004495,Structures des urgences générales,0,1,1,0,0,2,0,SSR,0,,3,3,1,0,,0,0,0,,5,2.90,,2.90,,,5,5.00,,,,,0,0.00,,,,,0,0.00,,,,,15,14.10,,,,,3,3.00,,,,,3,3.00,,,,,2,2.00,,,,,0,0.00,,,,,6,6.00,,,,,1,0,0,SECRETAIRE,0,50,0,0,0,0,,,,0,0,1,1,,,1,1,,,0,0,0,0,0,0,0,0,1,1,1,0,,,0,,1,3,1,0,,,0,,0,0,0,0,0,0,,,"APPELS Téléphonique autre centre ou administrateur de garde, mise à jour des plans blanc, bleu pandémie, NRBC etc.",11/06/2013,0,0,0,0,0,0,2,1,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,31,3,2
020010047G1,POLICLINIQUE ST CLAUDE,020010047,Structures des urgences générales,0,1,2,0,0,0,0,,0,,1,1,0,1,,0,,,,4,4.00,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,2,2.00,,,,,1,1.00,,,,,1,0.20,,,,,1,1.00,,,,,0,0.00,,,,,0,0.00,,,,,0,,,,,,0,0,,0,,,,0,0,0,,,,0,,,,0,,,1,1,1,1,,1,0,1,1,0,1,0,,1,2,1,1,1,0,0,,1,1,0,1,1,1,0,0,,11/06/2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,,
030780092G1,CENTRE HOSPITALIER MOULINS YZEURE,030780092,Structures des urgences générales,1,1,2,0,2,0,0,,1,0.15,3,3,0,1,Fédération des urgences de l'Allier (avec le CH Vichy pour l'instant et à moyen terme avec le secteur de Montluçon),0,,,,24,20.60,0.00,0.00,6018,2026,1,1.00,,,,39,3,3.00,0.00,0.00,0,0,2,2.00,,,,31,35,31.08,,,,1690,22,21.73,,,,367,5,5.57,,,,193,3,2.29,,,,31,0,0.00,,,,,0,0.00,,,,,1,1,0,,1,10,0,1,0,0,,,,1,1,0,,,,0,,,,0,,1,1,1,0,0,0,1,1,1,1,0,0,1,25,1,2,1,1,0,1,0,,1,1,1,1,1,1,76,76,Edition mensuelle des séjours dits longs-sensibilisation chaque fois que possible des praticiens de l'établissement-Démarrage d'un travail avec la future CHT du Bourbonnais- Enqête de satisfation auprès des professionnels des établissements sanitaires et médico-sociaux du territoire sur la transmiss,11/06/2013,3,11,9,5,3,4,8,16,10,11,3,3,5,5,5,5,5,3,3,3,,,,,,2,4,4,2,2,0,0,0,0,0,1,2,2,1,1,1,0,0,1,1,0,1,1,1,0,5,5,5,4,5,2,2,2,2,2,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,97,,
030780100A1,CENTRE HOSPITALIER DE MONTLUCON,030780100,Structures des urgences générales sur site ayant aussi une structure des urgences pédiatriques,1,1,2,2,1,2,0,Traumatisme Pédiatrie,1,1.00,3,3,1,1,"Avis spécialisé urologie, vasculaire, angiologie",1,1,1,1,7,7.00,,,7339,0,1,0.50,,,,,4,4.00,,,,,2,2.00,0.00,0.00,,,30,29.80,0.00,0.00,,,16,16.00,0.00,0.00,,,2,1.70,0.00,0.00,,,2,2.00,0.00,0.00,,,2,2.00,0.00,0.00,,,7,7.00,0.00,0.00,,,1,1,1,,0,50,0,1,0,0,,,,0,1,,,,,0,,,,0,,1,1,0,1,1,1,1,1,1,1,0,1,1,30,1,3,1,0,,,0,,0,0,1,1,1,1,0,0,Procédure de placements de lit en place : lits supplémentaires dans certains services,11/06/2013,5,12,12,8,3,0,0,1,5,1,8,1,2,2,8,0,0,4,3,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0,3,3,3,3,1,2,1,1,1,5,5,5,4,5,3,3,3,2,3,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,1,1,0,0,1,76,3,3
030780100P1,CENTRE HOSPITALIER DE MONTLUCON,030780100,Structures des urgences pédiatriques,0,0,,,,,,,0,,3,3,0,0,,0,,,,0,0.00,,,,,6,2.50,,,,,5,2.50,,,,,1,0.20,,,,,25,7.00,,,,,30,7.00,,,,,4,0.40,,,,,2,1.00,,,,,0,0.00,,,,,0,0.00,,,,,1,0,0,infirmiere puéricultrice,0,5,0,1,0,,,,,,,,,,,0,,,,0,,1,1,1,0,,,1,1,1,1,0,1,,,0,,0,0,,,0,,0,0,0,0,0,0,,,,11/06/2013,2,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,29,,
030780118G1,CENTRE HOSPITALIER JACQUES LACARIN,030780118,Structures des urgences générales,0,1,0,0,1,0,0,,1,0.10,3,3,1,1,fédération des structures d'urgence 03 (FSU03),0,,,,19,13.35,6.40,3.66,3732,33,5,1.84,0.00,0.00,0,0,6,4.86,0.00,0.00,0,0,2,2.00,0.00,0.00,0,0,38,35.70,0.00,0.00,0,0,19,18.50,0.00,0.00,0,0,8,8.00,0.00,0.00,0,0,5,5.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,1,1,0,"médecin coordonnateur des urgences qui pilote l'ensemble des urgences (dont recours de l'IOA), numéro tel dédié pour les urgences, l'hôpital, les médecins de ville",1,79,0,1,0,0,,,,1,1,0,,,,0,,,,0,,1,2,2,0,2,1,1,1,0,1,0,0,1,15,1,24,0,0,,,1,1,1,1,1,1,1,0,0,0,"SCO: Staff de concertation et d'orientation, réunion de 20 min le matin, du lundi au vendredi, ou 1 médecin de chaque service de médecine vient avec ses lits disponibles, les patients UHCD sont présentés succinctement et distribués dans les lits disponibles",11/06/2013,2,10,10,10,3,0,2,0,3,0,5,8,0,3,1,15,13,2,5,10,1,2,0,1,0,3,3,3,2,3,0,0,0,0,0,2,2,2,1,2,2,2,2,1,2,1,2,1,0,1,7,7,7,5,7,4,4,4,2,4,1,1,2,1,1,2,3,0,0,2,0,0,0,0,0,1,1,1,0,1,91,11,17
030781116G1,POLYCL. ST FRANCOIS-ST ANTOINE,030781116,Structures des urgences générales,1,1,2,0,0,0,0,,0,,1,1,0,1,"Pédiatrie, neurologie,psychiatrie/Urologie, vasculaire",0,,,,6,3.00,,2.60,,,0,0.00,,,,,0,0.00,,,,,1,0.50,0.00,0.00,,,7,6.40,,,,,3,2.60,,,,,3,2.60,,,,,2,1.15,,,,,1,0.60,,,,,0,0.00,,,,,0,,,,,,0,0,,0,,,,0,0,0,,,,0,,,,,,,,,,,,1,1,1,0,,,0,,1,3,1,1,1,1,1,3,0,1,0,1,1,1,1,1,,11/06/2013,1,6,6,2,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,29,,
040000135G1,C.H. INTERCOMMUNAL DES ALPES DU SUD SITE DE SISTERON,040000135,Structures des urgences générales,0,1,1,1,0,1,0,,1,0.12,3,3,1,1,orientation des urgences spécifiques en fonction du plateau technique,1,0,1,0,9,7.63,1.00,0.30,2620,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,1,0.40,0.00,0.00,0,0,17,17.92,0.00,0.00,0,0,7,6.32,0.00,0.00,0,0,2,1.82,0.00,0.00,0,0,2,0.59,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,,,,,,0,0,,0,,,,0,1,0,,,,0,,,,0,,0,0,0,0,0,0,1,1,1,0,,,0,,1,1,0,0,,,0,,1,0,0,0,0,0,,,,11/06/2013,2,4,1,2,0,0,1,0,0,0,2,2,0,4,4,2,2,0,1,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1
